NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	cell_type	cell_type__ontology_label	organ_region	organ_region__ontology_label	cell_type__custom
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group
UU_1	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_2	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_3	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_4	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_5	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_6	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_7	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000985	Primary motor area	Molecular layer interneuron 2 (MLI2)
UU_8	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000985	Primary motor area	
UU_9	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000985	Primary motor area	Molecular layer interneuron 2 (MLI2)
UU_10	UU_D06_02	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000985	Primary motor area	Molecular layer interneuron 2 (MLI2)
UU_11	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_12	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0001031	cerebellar granule cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Granule
UU_13	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_14	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_15	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_16	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_17	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_18	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_19	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000121	Purkinje cell	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	Molecular layer interneuron 2 (MLI2)
UU_20	UU_D06_01	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D06	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000909|MBA:000000502	Entorhinal area|Subiculum	
UU_21	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000555	neuronal brush cell	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	Unipolar brush cell (UBC)
UU_22	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_23	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_24	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
UU_25	UU_D05_03	PrimaryBioSample_PrimaryCulture	PATO_0000461	normal	UBERON_0000955	brain	EFO_0009899	10X 3' v2 sequencing	UU_D05	NCBITaxon_9913	Bos taurus	male	no	CL_0000057	fibroblast	MBA:000000302|MBA:000000294|MBA:000000795	Superior colliculus, sensory related|Superior colliculus, motor related|Periaqueductal gray	
