NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	preservation_method
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	group
BA_1	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_2	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_3	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_4	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_5	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_6	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_7	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_8	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_9	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_10	BA_D06_16dpp_r3	PrimaryBioSample	MONDO_0011284	astigmatism (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_11	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_12	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_13	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_14	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_15	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_16	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_17	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_18	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_19	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_20	BA_D06_5dpp_r1	PrimaryBioSample	MONDO_0005109	HIV infectious disease	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D06	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_21	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_22	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_23	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_24	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_25	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_26	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_27	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_28	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_29	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_30	BA_D05_10dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_31	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_32	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_33	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
BA_34	BA_D05_14dpp_r1	PrimaryBioSample	MONDO_0005041|MONDO_0005129	glaucoma (disease)|cataract (disease)	UBERON_0000970	eye	EFO_0008780	inDrop	BA_D05	NCBITaxon_10090	Mus musculus	unknown	no	Fresh
