NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	cell_type	cell_type__ontology_label	preservation_method	organ_region	organ_region__ontology_label	cell_type__custom
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group	group
AF_1	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_2	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_3	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_4	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_5	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_6	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_7	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_8	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Macrophage
AF_9	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_10	AF_D06_02	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000657	Primary somatosensory area, mouth, layer 2/3	Purkinje
AF_11	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_12	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000573	retinal cone cell	Frozen	MBA:000000985	Primary motor area	Unipolar brush cell (UBC)
AF_13	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_14	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000985	Primary motor area	Purkinje
AF_15	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_16	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_17	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_18	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_19	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000985	Primary motor area	Purkinje
AF_20	AF_D06_01	PrimaryBioSample	MONDO_0005887	oral tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D06	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000985	Primary motor area	Macrophage
AF_21	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Bergmann
AF_22	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_23	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_24	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_25	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_26	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_27	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_28	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000103	bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Macrophage
AF_29	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000748	retinal bipolar neuron	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Purkinje
AF_30	AF_D05_03	PrimaryBioSample	MONDO_0001678	intestinal tuberculosis	UBERON_0000955	brain	EFO_0008722	Drop-seq	AF_D05	NCBITaxon_10090	Mus musculus	male	no	CL_0000236	B cell	Frozen	MBA:000000441	Anteromedial visual area, layer 6b	Bergmann
