NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	organism_age	organism_age__unit	organism_age__unit_label	preservation_method
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	numeric	group	group	group
AH_1	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_2	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_3	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_4	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_5	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_6	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_7	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_8	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_9	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_10	AH_D06_02	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_11	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_12	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_13	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_14	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_15	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_16	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
AH_17	AH_D06_01	PrimaryBioSample	MONDO_0024982	salmonella infections, animal	UBERON_0001155	colon	EFO_0008722	Drop-seq	AH_D06	NCBITaxon_10090	Mus musculus	male	no	7	UO_0000033	day	Fresh
