NAME	X	Y	Category	Intensity
TYPE	numeric	numeric	group	numeric
AC_1	7.532146662	14.82605751	A	1
AC_2	58.61765538	7.621239758	A	1
AC_3	126.838316	20.30488368	A	1
AC_4	136.0257256	31.8395526	A	1
AC_5	118.292871	9.93386167	A	1
AC_6	29.61123218	24.26047192	A	1
AC_7	43.38776756	11.73673048	A	1
AC_8	54.18697213	0.394868427	A	1
AC_9	39.05557644	23.39681204	A	1
AC_10	171.9042563	20.89398821	A	1
AC_11	119.7433749	41.27707006	A	1
AC_12	51.04956629	6.041175955	A	1
AC_13	19.41705909	35.17520896	A	1
AC_14	64.19675026	21.4210582	A	1
AC_15	95.65017548	2.672688044	A	1
AC_16	61.71478886	1.527496012	A	1
AC_17	168.150801	13.0866304	A	1
AC_18	149.1863658	11.94415621	A	2
AC_19	33.92271473	28.58640717	A	2
AC_20	13.04387844	39.71011151	A	2
AC_21	38.86926035	31.23272378	A	2
AC_22	63.4539988	47.14681627	A	2
AC_23	123.7872302	17.00484269	A	2
AC_24	1.193782087	13.33772573	A	2
AC_25	9.147998524	21.31429603	A	2
AC_26	171.4590875	5.539502538	A	2
AC_27	150.1864111	19.7530968	A	2
AC_28	94.56417392	52.46538967	A	2
AC_29	96.14126157	12.49172257	A	2
AC_30	162.1964697	17.7276533	A	2
AC_31	53.37900629	19.87469931	A	2
AC_32	94.97263337	26.41343975	A	2
AC_33	76.46607721	64.62806235	A	2
AC_34	160.4219063	25.93976832	A	2
AC_35	148.5156616	37.5718767	A	3
AC_36	156.9454478	37.35821721	A	3
AC_37	159.0562419	1.387584099	A	3
AC_38	106.0522306	34.75971617	A	3
AC_39	104.645561	49.43181922	A	3
AC_40	19.30025456	43.70685198	A	3
AC_41	37.89555164	60.38909091	A	3
AC_42	95.60162159	59.63196345	A	3
AC_43	145.5720336	31.41580565	A	3
AC_44	122.2824441	33.17576874	A	3
AC_45	134.1375862	49.87696943	A	3
AC_46	144.137549	24.02838512	A	3
AC_47	25.69453517	40.26369495	A	3
AC_48	70.08693602	18.09931961	A	3
AC_49	65.64949022	6.892936487	A	3
AC_50	126.1003215	5.31785339	A	3
AC_51	14.75203031	50.26215348	A	3
AC_52	48.21447697	55.27893203	A	3
AC_53	128.5548727	17.59986513	A	3
AC_54	72.80949184	46.92215162	A	4
AC_55	71.10629668	28.66218946	A	4
AC_56	127.154957	29.08549506	A	4
AC_57	70.82779732	24.53582137	A	4
AC_58	67.24149968	52.50508649	A	4
AC_59	30.27473789	33.57064203	A	4
AC_60	76.8380121	43.32186628	A	4
AC_61	118.6310054	47.8963156	A	4
AC_62	52.84550052	15.30139237	A	4
AC_63	90.61569175	43.97506096	A	4
AC_64	66.05522692	22.96277306	A	4
AC_65	58.70534422	76.50381274	A	4
AC_66	105.1836266	75.32959985	A	4
AC_67	83.84269782	74.75820617	B	4
AC_68	9.643076864	30.09661605	B	4
AC_69	76.23032653	94.55021784	B	4
AC_70	126.026776	25.32035985	B	4
AC_71	77.00332026	77.231299	B	5
AC_72	95.08974965	59.82796135	B	5
AC_73	17.11696245	90.48630146	B	5
AC_74	38.58147788	87.0499754	B	5
AC_75	31.46146391	24.64037719	B	5
AC_76	99.10690901	59.86607416	B	5
AC_77	98.36755326	79.436695	B	5
AC_78	89.86491155	75.27896689	B	5
AC_79	114.5579783	96.58051578	B	5
AC_80	70.97819974	77.01275425	B	5
AC_81	29.12797556	70.52753642	B	5
AC_82	10.54183249	8.079640463	B	5
AC_83	79.75388417	79.33854239	B	5
AC_84	83.52202136	38.85588534	B	5
AC_85	2.263416675	29.7780619	B	5
AC_86	79.32159426	109.5785135	B	5
AC_87	0.282480833	13.95215875	B	5
AC_88	62.67169733	70.55200594	B	5
AC_89	72.70497191	0.461179818	B	6
AC_90	11.95914718	81.40790566	B	6
AC_91	37.30767289	0.418035245	B	6
AC_92	99.44927631	113.3276766	B	6
AC_93	65.99830792	25.24126109	B	6
AC_94	98.7599441	7.654108983	B	6
AC_95	41.25871116	104.9521141	B	6
AC_96	97.75989567	13.93796459	B	6
AC_97	32.33023744	114.6870663	B	6
AC_98	45.84964639	45.27908588	B	6
AC_99	34.68366483	98.86696487	B	6
AC_100	17.03360339	106.2379584	B	6
AC_101	13.22420563	95.81560508	B	6
AC_102	85.66576056	21.31235156	B	6
AC_103	34.86234469	35.50657593	B	6
AC_104	51.17784497	111.6094928	B	6
AC_105	15.43007701	130.9949312	B	6
AC_106	52.50395429	6.961462243	B	6
AC_107	7.108133657	119.6451482	C	7
AC_108	87.51998192	51.47398568	C	7
AC_109	1.271998615	20.96934754	C	7
AC_110	34.62923206	52.70110314	C	7
AC_111	76.73591991	118.8922896	C	7
AC_112	19.62358857	76.48940883	C	7
AC_113	23.94922265	26.91123137	C	7
AC_114	2.102517558	70.06787643	C	7
AC_115	50.97147294	109.2801322	C	7
AC_116	64.72676756	146.5816904	C	7
AC_117	63.60627499	44.64277849	C	7
AC_118	38.787643	6.517710357	C	7
AC_119	35.6609656	38.4238496	C	7
AC_120	56.90436147	7.295290041	C	8
AC_121	67.91846164	111.2379161	C	8
AC_122	37.29300375	10.17885921	C	8
AC_123	9.289915753	48.67288864	C	8
AC_124	47.3360771	154.009029	C	8
AC_125	55.26321898	47.37817741	C	8
AC_126	58.71222282	104.7079358	C	8
AC_127	53.35087567	7.687360164	C	8
AC_128	3.849998135	15.07190598	C	8
AC_129	40.86178168	12.32040152	C	8
AC_130	32.59809848	29.41044563	C	8
