NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living	preservation_method
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group	group
AC_1	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_2	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_3	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_4	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_5	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_6	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_7	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_8	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_9	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_10	AC_D06_02	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_11	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_12	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_13	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_14	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_15	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_16	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_17	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_18	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_19	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
AC_20	AC_D06_01	PrimaryBioSample	MONDO_0007186	gastroesophageal reflux disease	UBERON_0000945	stomach	EFO_0008780	inDrop	AC_D06	NCBITaxon_10090	Mus musculus	male	yes	Frozen
