NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group
AB_1	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_2	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_3	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_4	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_5	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_6	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_7	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_8	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_9	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_10	AB_D06_02	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_11	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_12	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
AB_13	AB_D06_01	PrimaryBioSample_PrimaryCulture	MONDO_0005109	HIV infectious disease	UBERON_0000178	blood	EFO_0008931	Smart-seq2	AB_D06	NCBITaxon_9913	Bos taurus	male	no
