NAME	biosample_id	biosample_type	disease	disease__ontology_label	organ	organ__ontology_label	library_preparation_protocol	library_preparation_protocol__ontology_label	donor_id	species	species__ontology_label	sex	is_living
TYPE	group	group	group	group	group	group	group	group	group	group	group	group	group
AA_1	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_2	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_3	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_4	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_5	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_6	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_7	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_8	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_9	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_10	AA_D06_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_11	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_12	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_13	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_14	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_15	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_16	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_17	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_18	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_19	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_20	AA_D06_01	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D06	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_21	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_22	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_23	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_24	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_25	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_26	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_27	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_28	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_29	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_30	AA_D05_03	CellLine	MONDO_0007186	gastroesophageal reflux disease	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_31	AA_D05_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_32	AA_D05_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
AA_33	AA_D05_02	CellLine	MONDO_0018076	tuberculosis	UBERON_0001963	bronchial-associated lymphoid tissue	EFO_0008722	Drop-seq	AA_D05	NCBITaxon_10090	Mus musculus	unknown	unknown
